id,type,amount,category_id,category_label,subcategory_id,subcategory_label,description,date,installments,recurrence,installment_group_id,installment_index,installment_total,recurrence_group_id,recurrence_index,recurrence_total,is_deleted,created_date
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
,,,,,,,,,,,,,,,,,FALSE,25/04/2026
